episode: 175 || reward: 14.0000 || t_min: 3328.1126 || reward_s: 15.4855
episode: 176 || reward: 33.8531 || t_min: 3328.1126 || reward_s: 16.4039
episode: 177 || reward: 9.5172 || t_min: 3328.1126 || reward_s: 16.0595
episode: 178 || reward: 9.5172 || t_min: 3328.1126 || reward_s: 15.7324
episode: 179 || reward: 7.2414 || t_min: 3328.1126 || reward_s: 15.3079
episode: 180 || reward: 14.0000 || t_min: 3328.1126 || reward_s: 15.2425
episode: 181 || reward: 4.1379 || t_min: 3328.1126 || reward_s: 14.6873
episode: 182 || reward: 14.0000 || t_min: 3328.1126 || reward_s: 14.6529
episode: 183 || reward: 7.9655 || t_min: 3328.1126 || reward_s: 14.3185
episode: 184 || reward: 7.2414 || t_min: 3328.1126 || reward_s: 13.9647
episode: 185 || reward: 12.1034 || t_min: 3328.1126 || reward_s: 13.8716
episode: 186 || reward: 3.6207 || t_min: 3328.1126 || reward_s: 13.3591
episode: 187 || reward: 11.2069 || t_min: 3328.1126 || reward_s: 13.2514
episode: 188 || reward: 61.0233 || t_min: 3328.1126 || reward_s: 15.6400
episode: 189 || reward: 12.1034 || t_min: 3328.1126 || reward_s: 15.4632
episode: 190 || reward: 6.5517 || t_min: 3328.1126 || reward_s: 15.0176
episode: 191 || reward: 14.0000 || t_min: 3328.1126 || reward_s: 14.9668
episode: 192 || reward: 10.3448 || t_min: 3328.1126 || reward_s: 14.7357
episode: 193 || reward: 6.5517 || t_min: 3328.1126 || reward_s: 14.3265
episode: 194 || reward: 14.0000 || t_min: 3328.1126 || reward_s: 14.3101
episode: 195 || reward: 5.8966 || t_min: 3328.1126 || reward_s: 13.8895
episode: 196 || reward: 33.3948 || t_min: 3328.1126 || reward_s: 14.8647
episode: 197 || reward: 14.0000 || t_min: 3328.1126 || reward_s: 14.8215
episode: 198 || reward: 9.5172 || t_min: 3328.1126 || reward_s: 14.5563
episode: 199 || reward: 13.0345 || t_min: 3328.1126 || reward_s: 14.4802
episode: 200 || reward: 22.8293 || t_min: 3328.1126 || reward_s: 14.8976
episode: 201 || reward: 25.5617 || t_min: 3328.1126 || reward_s: 15.4308
episode: 202 || reward: 14.0000 || t_min: 3328.1126 || reward_s: 15.3593
episode: 203 || reward: 14.0000 || t_min: 3328.1126 || reward_s: 15.2913
episode: 204 || reward: 13.0345 || t_min: 3328.1126 || reward_s: 15.1785
episode: 205 || reward: 14.0000 || t_min: 3328.1126 || reward_s: 15.1196
