2026-03-24 17:25:35,637 - INFO - episode:91 reward:0.30000000000000004 Actions:[[7, 0], [6, 1], [8, 1], [9, 0], [0, 0], [4, 0], [5, 5], [3, 0], [2, 0], [1, 0]]
2026-03-24 17:25:35,639 - INFO - episode:92 reward:2.1 Actions:[[4, 1], [9, 0], [0, 3], [2, 0], [3, 0], [6, 4], [8, 0], [5, 1], [7, 1], [1, 4]]
2026-03-24 17:25:35,644 - INFO - episode:93 reward:106.65383292848765 Actions:[[8, 5], [9, 1], [3, 0], [7, 2], [5, 0], [1, 3], [4, 1], [6, 2], [2, 0], [0, 1]]
2026-03-24 17:25:35,645 - INFO - episode:94 reward:2.8 Actions:[[1, 1], [8, 3], [3, 0], [6, 0], [7, 0], [9, 2], [4, 1], [5, 0], [0, 3], [2, 0]]
2026-03-24 17:25:35,647 - INFO - episode:95 reward:2.1 Actions:[[0, 1], [2, 5], [1, 0], [3, 1], [4, 0], [9, 1], [5, 1], [8, 2], [6, 4], [7, 1]]
2026-03-24 17:25:35,651 - INFO - episode:96 reward:4.5 Actions:[[4, 1], [5, 3], [2, 0], [6, 1], [1, 5], [0, 0], [7, 1], [9, 3], [3, 0], [8, 0]]
2026-03-24 17:25:35,653 - INFO - episode:97 reward:0.6000000000000001 Actions:[[5, 2], [8, 0], [7, 1], [4, 0], [9, 0], [1, 0], [2, 0], [3, 2], [0, 2], [6, 0]]
2026-03-24 17:25:35,654 - INFO - episode:98 reward:0.30000000000000004 Actions:[[8, 1], [0, 0], [4, 1], [1, 5], [6, 2], [9, 0], [2, 2], [7, 0], [3, 0], [5, 0]]
2026-03-24 17:25:35,656 - INFO - episode:99 reward:0.30000000000000004 Actions:[[8, 3], [5, 2], [9, 3], [7, 1], [0, 0], [4, 0], [3, 0], [2, 0], [6, 1], [1, 1]]
2026-03-24 17:25:35,657 - INFO - episode:100 reward:0.6000000000000001 Actions:[[4, 0], [1, 0], [8, 1], [0, 0], [7, 0], [9, 0], [5, 2], [3, 0], [2, 1], [6, 1]]
2026-03-24 17:25:35,659 - INFO - episode:101 reward:0.6000000000000001 Actions:[[0, 2], [6, 0], [2, 0], [1, 0], [4, 2], [3, 3], [8, 2], [7, 1], [5, 0], [9, 0]]
2026-03-24 17:25:35,661 - INFO - episode:102 reward:0.6000000000000001 Actions:[[5, 0], [2, 0], [7, 0], [0, 0], [1, 2], [4, 0], [9, 2], [3, 0], [6, 2], [8, 0]]
2026-03-24 17:25:35,662 - INFO - episode:103 reward:1.5 Actions:[[3, 0], [1, 0], [5, 5], [7, 2], [0, 2], [6, 0], [8, 0], [2, 2], [9, 1], [4, 0]]
2026-03-24 17:25:35,664 - INFO - episode:104 reward:0.30000000000000004 Actions:[[1, 0], [5, 0], [9, 0], [2, 1], [3, 3], [8, 3], [0, 0], [4, 0], [7, 1], [6, 1]]
2026-03-24 17:25:35,665 - INFO - episode:105 reward:0.30000000000000004 Actions:[[7, 0], [0, 0], [1, 0], [6, 1], [2, 1], [3, 0], [8, 0], [9, 1], [4, 1], [5, 0]]
2026-03-24 17:25:35,667 - INFO - episode:106 reward:0.30000000000000004 Actions:[[2, 0], [6, 1], [8, 0], [0, 0], [1, 0], [4, 0], [5, 1], [3, 1], [7, 0], [9, 0]]
2026-03-24 17:25:35,668 - INFO - episode:107 reward:0.1 Actions:[[1, 0], [8, 0], [7, 0], [4, 2], [3, 2], [2, 1], [5, 0], [6, 0], [9, 0], [0, 1]]
2026-03-24 17:25:35,670 - INFO - episode:108 reward:0.6000000000000001 Actions:[[8, 1], [0, 0], [3, 2], [1, 1], [6, 0], [4, 0], [9, 0], [5, 1], [7, 0], [2, 0]]
2026-03-24 17:25:35,671 - INFO - episode:109 reward:1.5 Actions:[[0, 0], [9, 2], [3, 0], [1, 1], [4, 1], [2, 1], [6, 0], [5, 0], [7, 0], [8, 0]]
2026-03-24 17:25:35,673 - INFO - episode:110 reward:2.1 Actions:[[0, 0], [9, 0], [4, 1], [7, 2], [1, 2], [3, 0], [6, 2], [8, 0], [5, 2], [2, 1]]
2026-03-24 17:25:35,674 - INFO - episode:111 reward:1.5 Actions:[[0, 3], [7, 0], [2, 0], [1, 1], [4, 0], [5, 0], [8, 2], [6, 0], [9, 3], [3, 2]]
2026-03-24 17:25:35,676 - INFO - episode:112 reward:1.0 Actions:[[0, 0], [2, 0], [3, 1], [4, 0], [1, 0], [7, 1], [6, 0], [8, 0], [9, 0], [5, 0]]
2026-03-24 17:25:35,678 - INFO - episode:113 reward:1.0 Actions:[[3, 1], [2, 0], [5, 0], [6, 0], [4, 0], [0, 1], [8, 2], [7, 0], [1, 2], [9, 3]]
2026-03-24 17:25:35,679 - INFO - episode:114 reward:1.0 Actions:[[9, 1], [5, 5], [2, 0], [3, 0], [1, 0], [4, 0], [8, 1], [6, 3], [0, 0], [7, 1]]
2026-03-24 17:25:35,681 - INFO - episode:115 reward:0.6000000000000001 Actions:[[8, 0], [7, 1], [4, 1], [3, 0], [1, 1], [5, 3], [6, 0], [2, 1], [0, 5], [9, 0]]
2026-03-24 17:25:35,685 - INFO - episode:116 reward:4.5 Actions:[[4, 2], [9, 5], [2, 0], [3, 2], [0, 1], [7, 1], [5, 0], [8, 3], [6, 4], [1, 1]]
2026-03-24 17:25:35,687 - INFO - episode:117 reward:0.6000000000000001 Actions:[[1, 3], [7, 1], [3, 0], [8, 1], [9, 0], [6, 1], [5, 1], [4, 4], [2, 0], [0, 0]]
2026-03-24 17:25:35,688 - INFO - episode:118 reward:1.5 Actions:[[7, 1], [2, 0], [4, 0], [0, 2], [9, 3], [8, 2], [5, 3], [1, 0], [6, 2], [3, 2]]
2026-03-24 17:25:35,690 - INFO - episode:119 reward:2.1 Actions:[[9, 4], [8, 0], [7, 1], [3, 2], [4, 3], [2, 2], [6, 0], [0, 0], [1, 0], [5, 1]]
2026-03-24 17:25:35,691 - INFO - episode:120 reward:1.5 Actions:[[0, 1], [6, 1], [2, 0], [3, 2], [5, 0], [8, 2], [1, 1], [4, 2], [7, 1], [9, 1]]
2026-03-24 17:25:35,693 - INFO - episode:121 reward:0.6000000000000001 Actions:[[8, 0], [1, 1], [4, 1], [9, 0], [6, 2], [3, 0], [2, 0], [0, 0], [7, 0], [5, 0]]
2026-03-24 17:25:35,695 - INFO - episode:122 reward:0.30000000000000004 Actions:[[5, 0], [1, 0], [9, 0], [6, 0], [3, 1], [0, 1], [7, 0], [4, 0], [2, 1], [8, 0]]
2026-03-24 17:25:35,696 - INFO - episode:123 reward:0.6000000000000001 Actions:[[2, 1], [3, 0], [0, 1], [1, 1], [5, 0], [9, 0], [7, 0], [4, 1], [8, 2], [6, 1]]
2026-03-24 17:25:35,698 - INFO - episode:124 reward:2.1 Actions:[[7, 0], [6, 2], [0, 0], [5, 1], [4, 0], [8, 3], [9, 0], [1, 0], [3, 0], [2, 1]]
2026-03-24 17:25:35,699 - INFO - episode:125 reward:2.1 Actions:[[5, 0], [4, 1], [0, 0], [6, 0], [3, 1], [9, 1], [7, 1], [8, 1], [2, 0], [1, 0]]
2026-03-24 17:25:35,701 - INFO - episode:126 reward:2.1 Actions:[[4, 1], [3, 0], [9, 1], [0, 1], [1, 2], [2, 2], [6, 2], [5, 1], [7, 0], [8, 1]]
