2026-03-26 04:06:10,762 - INFO - Start algorithm execution: algorithms.RL.main
2026-03-26 04:06:10,762 - INFO - RL using gamma=0.95 (DRDQL_GAMMA=)
2026-03-26 04:06:11,931 - INFO - episode:82 totalReward:-100 Actions:[[3, 5], [0, 5], [2, 4], [5, 4], [1, 0], [4, 1]]
2026-03-26 04:06:11,942 - INFO - episode:83 totalReward:-100 Actions:[[0, 4], [1, 4], [2, 2], [4, 0], [3, 0], [5, 3]]
2026-03-26 04:06:11,951 - INFO - episode:84 totalReward:-100 Actions:[[5, 0], [4, 1], [2, 3], [0, 0], [3, 3], [1, 2]]
2026-03-26 04:06:11,962 - INFO - episode:85 totalReward:-100 Actions:[[2, 1], [1, 1], [3, 0], [0, 1], [4, 5], [5, 0]]
2026-03-26 04:06:11,973 - INFO - episode:86 totalReward:-100 Actions:[[0, 1], [1, 1], [4, 4], [3, 0], [5, 5], [2, 2]]
2026-03-26 04:06:11,983 - INFO - episode:87 totalReward:-100 Actions:[[4, 5], [5, 3], [0, 5], [3, 2], [2, 1], [1, 1]]
2026-03-26 04:06:11,994 - INFO - episode:88 totalReward:-100 Actions:[[1, 0], [2, 1], [4, 3], [0, 4], [3, 0], [5, 1]]
2026-03-26 04:06:12,001 - INFO - episode:89 totalReward:2995.686097568712 Actions:[[1, 0], [2, 1], [5, 0], [0, 0], [3, 1], [4, 1]]
2026-03-26 04:06:12,008 - INFO - episode:90 totalReward:102.96348660069563 Actions:[[3, 3]]
2026-03-26 04:06:12,018 - INFO - episode:91 totalReward:-100 Actions:[[3, 4], [0, 2], [4, 2], [1, 1], [5, 5], [2, 0]]
2026-03-26 04:06:12,025 - INFO - episode:92 totalReward:-100 Actions:[[2, 4], [1, 2], [0, 0], [3, 1], [5, 3], [4, 4]]
2026-03-26 04:06:12,036 - INFO - episode:93 totalReward:-100 Actions:[[5, 5], [0, 5], [1, 0], [2, 1], [3, 0], [4, 4]]
2026-03-26 04:06:12,044 - INFO - episode:94 totalReward:-100 Actions:[[3, 3], [0, 2], [1, 5], [4, 0], [5, 4], [2, 0]]
2026-03-26 04:06:12,052 - INFO - episode:95 totalReward:-100 Actions:[[0, 4], [4, 2], [2, 0], [1, 0], [5, 2], [3, 1]]
2026-03-26 04:06:12,061 - INFO - episode:96 totalReward:-100 Actions:[[3, 4], [1, 0], [2, 1], [4, 1], [5, 5], [0, 3]]
2026-03-26 04:06:12,070 - INFO - episode:97 totalReward:-100 Actions:[[1, 0], [2, 1], [3, 1], [4, 4], [0, 1], [5, 0]]
2026-03-26 04:06:12,082 - INFO - episode:98 totalReward:-100 Actions:[[2, 2], [3, 1], [4, 0], [1, 1], [5, 5], [0, 3]]
2026-03-26 04:06:12,089 - INFO - episode:99 totalReward:-100 Actions:[[2, 5], [0, 5], [3, 5], [5, 1], [1, 5], [4, 2]]
2026-03-26 04:06:12,099 - INFO - episode:100 totalReward:-100 Actions:[[4, 3], [0, 5], [3, 5], [2, 5]]
2026-03-26 04:06:12,104 - INFO - episode:101 totalReward:-100 Actions:[[4, 1], [2, 3], [1, 1], [3, 0], [5, 0], [0, 2]]
2026-03-26 04:06:12,112 - INFO - episode:102 totalReward:386.8586483512831 Actions:[[2, 0], [3, 0], [1, 5], [5, 4], [4, 5], [0, 4]]
2026-03-26 04:06:12,118 - INFO - episode:103 totalReward:-100 Actions:[[4, 5], [5, 3], [3, 0], [1, 1], [0, 5], [2, 5]]
2026-03-26 04:06:12,128 - INFO - episode:104 totalReward:354.8917588723729 Actions:[[0, 3], [3, 0], [1, 0], [4, 1], [5, 1], [2, 1]]
2026-03-26 04:06:12,134 - INFO - episode:105 totalReward:-100 Actions:[[0, 3], [4, 1], [2, 0], [5, 5], [3, 4], [1, 2]]
