2026-03-24 17:26:46,588 - INFO - episode:92 reward:86.15030862702542 Actions:[[3, 2], [7, 0], [9, 3], [0, 3], [2, 2], [1, 4], [6, 0], [4, 3], [5, 1], [8, 4]]
2026-03-24 17:26:46,609 - INFO - episode:93 reward:2.1 Actions:[[6, 1], [0, 1], [9, 0], [4, 2], [7, 1], [5, 3], [3, 1], [8, 2], [1, 0], [2, 1]]
2026-03-24 17:26:46,633 - INFO - episode:94 reward:15.633471608624404 Actions:[[0, 1], [8, 3], [7, 0], [2, 1], [3, 2], [5, 2], [6, 1], [9, 0], [4, 2], [1, 0]]
2026-03-24 17:26:46,654 - INFO - episode:95 reward:1.5 Actions:[[1, 1], [8, 5], [4, 0], [3, 1], [5, 2], [6, 1], [2, 2], [9, 2], [0, 4], [7, 1]]
2026-03-24 17:26:46,675 - INFO - episode:96 reward:2.1 Actions:[[1, 1], [8, 3], [2, 0], [6, 1], [4, 4], [5, 0], [3, 3], [7, 3], [9, 3], [0, 0]]
2026-03-24 17:26:46,697 - INFO - episode:97 reward:1.0 Actions:[[4, 4], [9, 0], [7, 1], [1, 0], [8, 1], [6, 2], [0, 0], [5, 2], [3, 4], [2, 0]]
2026-03-24 17:26:46,721 - INFO - episode:98 reward:4.5 Actions:[[0, 1], [6, 3], [5, 1], [3, 5], [2, 3], [7, 0], [8, 2], [4, 0], [9, 0], [1, 0]]
2026-03-24 17:26:46,742 - INFO - episode:99 reward:1.5 Actions:[[9, 3], [3, 2], [1, 3], [6, 2], [4, 0], [7, 3], [5, 0], [0, 3], [8, 1], [2, 1]]
2026-03-24 17:26:46,763 - INFO - episode:100 reward:0.1 Actions:[[8, 0], [7, 0], [5, 1], [0, 2], [6, 2], [3, 0], [4, 3], [2, 0], [9, 1], [1, 1]]
2026-03-24 17:26:46,785 - INFO - episode:101 reward:3.5999999999999996 Actions:[[1, 2], [9, 0], [0, 0], [6, 0], [2, 4], [5, 4], [4, 1], [7, 1], [8, 0], [3, 0]]
2026-03-24 17:26:46,806 - INFO - episode:102 reward:0.6000000000000001 Actions:[[4, 0], [0, 0], [3, 0], [5, 0], [2, 3], [7, 1], [1, 1], [9, 0], [6, 4], [8, 0]]
2026-03-24 17:26:46,830 - INFO - episode:103 reward:35.40286871012336 Actions:[[2, 5], [4, 0], [0, 5], [6, 2], [1, 2], [3, 0], [5, 0], [8, 3], [9, 1], [7, 1]]
